,email_body,sentiment,formality
0,I look forward to meeting you and learning about your successful business.,positive,formal
1,We look forward to seeing you next week!,positive,formal
2,A quick question before our meeting.,neutral,informal
3,"After sunning and drinking all day we feasted on a fleisch dinner...that was all we had here to eat, so we grilled bauchfleisch, steaks and bratw?rst...WE ATE SOOO MUCH, but we had DRANK SO MUCH THAT WE NEEDED IT, good greasy stuff.",positive,informal
4,"Also Tuesday, Kyle and Eric 1/2 hour.",neutral,informal
5,"Also, I made a change to paragraph 7 to include technical bulletins per Mitch's request which we did not discuss on our call.",neutral,informal
6,"As i was pondering the meeting last night going home in my car, I realized that I forgot to talk about 2 people, including regulatory and your personal efforts.",negative,informal
7,"As you become the responsible lawyer, first in Mexico, and maybe in the rest of South America, you may have a different opinion on these issues and we can certainly change our policies at any time.",neutral,informal
8,"As you know, last year's congress attracted over 200 attendees and provided the ideal opportunity for leading institutions to discuss the key issues and latest developments in pricing, trading and risk management strategies for power and gas.",positive,formal
9,"As you may know, I am on the Compaq Computer board.",neutral,formal
10,Ben is trying to set up a conference call with ABB for next Wednesday.,neutral,informal
11,"Central Time, Wednesday.",neutral,formal
12,"Chris Calger wants the financing CP removed, and we have a call scheduled at 200 to see if we can get to agreement with Delta.",neutral,informal
13,Christie is coming at 1:30 to meet the students and talk to me.,neutral,informal
14,Clickpaper.com will be out and live just before the analyst meetings.,neutral,informal
15,"Czy masz czas, by spotakc sie na obiad/lunch/kawe?",neutral,informal
16,Darron is in Hawaii until next week.,neutral,informal
17,"Date: Tuesday, May 29 Time: 11:00 a.m.",neutral,formal
18,"Dear Keith, It was a pleasure to meet you and your colleagues in gas / power trading last week.",positive,formal
19,"Dev., TransCanada PipeLines IN-DEPTH SEMINARS Power Generator Seminar How Calpine Corporation is handling its gas storage and deliverability requirements Storage Pricing Seminar Comprehensive insights for 2002: storage pricing volatility, effects on commodity and options pricing, leveraging opportunities PROJECT DISPLAYS Current projects of North America's leading storage providers: How they're using new technology, handling challenges, seizing opportunities VALUABLE NETWORKING OPPORTUNITIES TEXAS WELCOME - Hosted by Bloomberg Pre-conference get-together, February 5, 7-10 p.m. Special invitation to all conference registrants DELEGATES' RECEPTION - Sponsored by Northwinds Pipeline February 6 at 5:00 p.m. - All conference delegates welcome For more information, please visit our website at www.ziffenergyconferences.com.",positive,formal
20,"Diane, I will definitely show this to Ken, but he has a Dain Rauscher presentation near the Galleria at 8:00 a.m. that morning, so I know he can't attend.",neutral,informal
21,Dr. Lay is unable to participate in the conference.,negative,formal
22,Drive carefully!! See you sometime this weekend,neutral,informal
23,"Enron Pres: Still Committed to Power Generation Business Wednesday, September 6, 2000 12:49 PM",neutral,formal
24,"Executive Committee Weekly Meeting Date: Monday, October 9 Time: 11:00 a.m.",neutral,formal
25,FYI. Can you make a call tomorrow at 100?,neutral,informal
26,"Friday June 8, 2001 7:30 pm Tickets: $10 general $5 Students/Seniors.",neutral,formal
27,Get some rest and start studying for Wednesday and Thursday exams.,neutral,informal
28,Giuseppe did not receive the invitation to the Thursday reception.,negative,formal
29,"Given our good, long-term relationship with UT, I would recommend that you speak at this conference.",positive,formal
30,Good night to grill...,positive,informal
31,Great to have you on board.,positive,informal
32,Have a good week.,positive,informal
33,Have a good weekend!,positive,informal
34,He can join us by phone if needed.,neutral,informal
35,He is anxious to see it and meet with you after he has had a chance to review it.,neutral,formal
36,He should be here for the management conference.,neutral,formal
37,He will be here next Monday at 3:00 p.m.,neutral,formal
38,He will be in the office tomorrow.,neutral,formal
39,He will return to the office tomorrow.,neutral,formal
40,He would like to discuss small business development and Center for Houston's Future with him.,neutral,formal
41,Here are a few questions I would like to submit before your floor meeting on the 32nd floor Wednesday.,neutral,formal
42,Here's the slide presentation from yesterday's meeting with the NE Power Team.,neutral,informal
43,"Holly, I already mailed the documents out to meet the Fedex deadline.",neutral,informal
44,Hope to see you at the Houstonian tomorrow.,positive,informal
45,Hope you had a nice weekend.,positive,informal
46,Hope you have a good day and have a happy Thanksgiving tomorrow.,positive,informal
47,Hope you have high water and not hell next weekend.,neutral,informal
48,Hope you've had a great weekend.,positive,informal
49,"However, I am unable to attend any of the other events due to my busy work schedule.",negative,formal
50,"However, I don't expect any big issues, since it is so close to the original form.",neutral,informal
51,"However, there's always next week.",neutral,informal
52,I can attend.,positive,formal
53,I cannot attend.,negative,formal
54,I cannot play on Thursday but thanks for letting me know.,neutral,informal
55,I faxed you the schedule.,neutral,informal
56,I have a staff meeting and will be unable to join.,negative,formal
57,I have to hurry and send in my money for the event.,neutral,informal
58,I know that you'll give me hell for this but I'm out of town for my Sister-in-Law's wedding that weekend.,negative,informal
59,"I left a message on Thursday evening for Rosemarie, but was out Friday, so was too busy to follow up today, but having said all that, Ken Lay wanted me to let you know that he would like to have the TFA board meeting at the Enron building.",neutral,informal
60,I really appreciate your putting me up for the weekend.,positive,informal
61,I shall attend.,positive,formal
62,I shall call Risk on Thursday.,neutral,formal
63,I shall coordinate the meeting on May the 4th with her.,neutral,formal
64,I shall probably ask Tanya to attend.,neutral,formal
65,I shall read the articles on weekend.,neutral,formal
66,I will have to give him a call tomorrow to wish him happy birthday.,positive,informal
67,I would like to attend.,positive,formal
68,I'll at least leave a message for him this weekend.,neutral,informal
69,I'll discuss with Carlos.,neutral,informal
70,I'll have to check with Kathleen on the details of the documentation for the various development companies.,neutral,informal
71,I'll have to go get one this weekend.,neutral,informal
72,"If no space is available, they are to go in at noon.",neutral,formal
73,"If so, Mike Miller is available to sign it.",neutral,informal
74,"If you are having trouble viewing the above web address, visit http://www.sendomatic.com/servlets/l?u=tori.kuykendall@enron.com and create an account to view the events you have received.",neutral,formal
75,"In that event the MinDQ would be 15,000 and Customer would purchase 15,000 from Company at the price in 1) and Company would purchase 3,000 from Customer at the price in 3).",neutral,formal
76,Is Titan Land Development the Owner?,neutral,informal
77,Is he availabe tomorrow?,neutral,informal
78,It does not meet the financial test on its own.,negative,formal
79,It has to be the following week.,neutral,informal
80,It seems we may be scheduling a meeting with VEPCO to discuss the PPA.,neutral,formal
81,Janice has also been revising her forms to deal with some EFP issues.,neutral,informal
82,Ken Lay will not be able to attend.,negative,formal
83,Ken Lay will not be able to join this as he is on a cruise vacation.,neutral,informal
84,"Ken Lay would only be available on December 4, 2000 as we have an Enron Board dinner on Monday, December 11.",neutral,formal
85,"Lead and become hands-on involved in the financial analysis, preparation of proposal documents, responses to Requests For Information from the Federal clients, term sheets and negotiation of business terms and definitive agreements with the customer.",neutral,formal
86,Let me bring it back tomorrow.,neutral,informal
87,Let me review my calendar in the beginning of the next year and I shall E-mail you with a suggested date.,neutral,formal
88,Looking forward to the long weekend to get some much needed rest.,positive,informal
89,"Martin, Bruce's trader-made fun of his haircut last week - woody woodpecker.",neutral,informal
90,Maybe I can leave on Saturday.,neutral,informal
91,Maybe it is on the development phone list.,neutral,informal
92,Maybe she can be a back up for next Thursday.,neutral,informal
93,Mike asked me to follow up with you to pass along his schedule for his visit to OU in April.,neutral,informal
94,"Mr. Kenneth L. Lay, Chairman and CEO of Enron Corp. will not be able to attend the November 16 - 17, 2000 6th Olympiad of the Mind.",negative,formal
95,"Must possess transactional savvy and a successful track record of building strong relationships and leading within all stages of the deal development process, including needs analysis, financial and technical due diligence, proposal development, customer interface and closing process.",positive,formal
96,My suspicion is that the EES discussions are not ultimately going to yield fruit.,negative,formal
97,No changes in the schedule.,neutral,formal
98,No new deals for central desk since bid week.,neutral,informal
99,Off to Oslo tomorrow.,neutral,informal
100,"On 11/1, I am thinking about having you meet with another faculty, I and a Ph.D student from 10am to 11am.",neutral,informal
101,Our friends at UT are ready to make the reservations and send out invitations to this conference,positive,informal
102,Overnight Accom.: N/A,neutral,informal
103,"Ozzie had to leave town, and he wanted to participate in the first meeting.",neutral,informal
104,Per my meeting today with Credit:,neutral,formal
105,"Planning a trip to Tulsa this Friday, to visit with Oneok.",neutral,informal
106,Q: Will sit-ups help prevent me from getting a little soft around the middle?,neutral,informal
107,"Re the other 2 meetings, he has a conflict also - an outside board.",neutral,informal
108,Re: sample master agreements...we recently had a group meeting where we were discouraged to send out sample masters.,negative,informal
109,Remind them that the list was changing as late as noon Friday.,neutral,informal
110,"Risk 2001 USA - Boston, 12-13 June 2001 Risk magazine's 7th annual US derivatives and risk management congress For a full program and the latest information visit: www.risk-conferences.com/risk2001usa",neutral,formal
111,SOCO did not want to pre-schedule anything for Wednesday.,negative,informal
112,Shawn Cumberland 20 has joined this group to lead and expand the origination opportunities in 20 this business.,neutral,informal
113,"Shortly after that discussion, I retired from McKinsey on very friendly terms to form my own firm.",neutral,formal
114,"Sorry I didn't respond yesterday, I didn't get out of here until 10 last night.",negative,informal
115,Sorry to hear about this weekend.,negative,informal
116,Stan Horton is currently planning to attend this event.,neutral,formal
117,Still on conference call.,neutral,informal
